Date,Value,rsi12,sma12
1969-12-01,17.326929913742685,25.452449091123494,36.42675652071784
1970-01-01,17.0905413951402,24.385397372980364,34.59493897974753
1970-02-01,16.37258678715985,21.411282476842455,32.71813503521031
1970-03-01,16.531690813943616,23.662102875911494,31.4578694605638
1970-04-01,15.87306781935406,20.952195443336656,29.76748945063391
1970-05-01,13.983836060789196,15.42445300822412,27.151372224383127
1970-06-01,13.79969179772518,15.003557750001463,25.255123668762938
1970-07-01,13.72649974435977,14.828111374909053,23.80828191437263
1970-08-01,14.10045651681545,20.039705241176936,22.89724641676824
1970-09-01,14.84266114524222,29.39391747287396,22.778955364262877
1970-10-01,15.064185404089637,31.98466946322644,22.82517914310415
1970-11-01,14.95076190879173,31.34230000646318,22.823345131422467
1970-12-01,15.873840687205744,41.73188673613079,24.179964935173075
1971-01-01,16.461793943491934,47.27574442006462,26.08749385576343
1971-02-01,17.034534781502128,52.117084742464115,28.6463107112319
1971-03-01,17.40290260718887,55.01530907124501,31.25907789417636
1971-04-01,17.92411044795961,58.858964463662275,34.417975312536825
1971-05-01,17.56415327969938,55.299155835381065,37.740867214799906
1971-06-01,17.083166880070703,50.818833531198536,40.725473529899666
1971-07-01,16.88941470869335,49.07170736849733,43.579106529365355
1971-08-01,16.51944944305156,45.79230282793237,45.72515632826164
1971-09-01,16.856792547835997,49.17118652388696,47.373262082512724
1971-10-01,16.42886270915947,45.26656355867747,48.480086590466975
1971-11-01,15.638712654326646,39.02446106146925,49.12026667838415
1971-12-01,16.603557212925327,48.48697922148053,49.683191052163295
1972-01-01,17.262996797035168,53.82923161797815,50.22931498532275
1972-02-01,17.46414760548616,55.369424807865286,50.50034332410618
1972-03-01,17.80564384961493,57.96634138867425,50.746262683891956
1972-04-01,17.915161678498293,58.80494751496521,50.741761271500536
1972-05-01,17.66264620037255,55.994977710053305,50.79974642772322
1972-06-01,17.64085731574026,55.74423788106215,51.21019679021185
1972-07-01,17.398690031138173,52.87357647366856,51.52701921564279
1972-08-01,17.9434046880298,58.16058209544209,52.55770915460194
1972-09-01,17.613854552912123,54.15105454006487,52.97269815595009
1972-10-01,17.533183854158565,53.17216942758872,53.63149864502603
1972-11-01,18.33889471496807,60.877679191356876,55.45260015585
1972-12-01,18.645719442073684,63.380929901364055,56.69376271250696
1973-01-01,18.712530467302432,63.929184197027446,57.53542542742773
1973-02-01,17.88988959919375,53.22525581283607,57.35674467784197
1973-03-01,17.41214205829033,48.1207557674763,56.536279209408804
1973-04-01,16.935740066050823,43.574711650208016,55.267092887345704
